id,run_id,book_title,step_name,started_at,finished_at,status,model_used,input_size,output_size,item_count,notes,error
1,run_1772451961_69202,城南旧事,step0b_load_text_file,2026-03-02 11:46:01,2026-03-02 11:46:01,completed,,0,124124,0,手动提供原文: output/books/chengnanjiu-shi/城南旧事.txt,
2,run_1772451961_69202,城南旧事,step2_extract_places,2026-03-02 11:46:01,2026-03-02 11:46:32,completed,,0,69,0,提取到 69 个地点,
3,run_1772451961_69202,城南旧事,step3_enrich_places,2026-03-02 11:46:32,,running,,0,0,0,,
4,run_1772452089_71938,城南旧事,step0b_load_text_file,2026-03-02 11:48:09,2026-03-02 11:48:09,completed,,0,124124,0,手动提供原文: output/books/chengnanjiu-shi/城南旧事.txt,
5,run_1772452089_71938,城南旧事,step2_extract_places,2026-03-02 11:48:09,2026-03-02 11:48:37,completed,,0,73,0,提取到 73 个地点,
6,run_1772452108_73236,城南旧事,step0b_load_text_file,2026-03-02 11:48:28,2026-03-02 11:53:50,completed,,0,73,0,富化完成 73 条,
7,run_1772452108_73236,城南旧事,step2_extract_places,2026-03-02 11:48:28,2026-03-02 11:54:02,completed,,0,0,0,"元数据: 9 角色, 8 篇章",
6,run_1772452089_71938,城南旧事,step3_enrich_places,2026-03-02 11:48:37,,running,,0,0,0,,
8,run_1772452108_73236,城南旧事,step3_enrich_places,2026-03-02 11:48:55,2026-03-02 12:00:29,completed,,0,56,0,审查完成 56 条,
7,run_1772452089_71938,城南旧事,step3b_book_meta,2026-03-02 11:53:50,,running,,0,0,0,,
8,run_1772452089_71938,城南旧事,step4_review,2026-03-02 11:54:02,,running,,0,0,0,,
9,run_1772452108_73236,城南旧事,step3b_book_meta,2026-03-02 11:57:04,2026-03-02 12:00:29,completed,,0,0,0,输出文件: output/books/work-1772452089/work-1772452089_places_structured.json,
10,run_1772452108_73236,城南旧事,step4_review,2026-03-02 11:57:15,2026-03-02 12:03:03,completed,,0,68,0,审查完成 68 条,
9,run_1772452089_71938,城南旧事,step5_output,2026-03-02 12:00:29,,running,,0,0,0,,
11,run_1772452108_73236,城南旧事,step5_output,2026-03-02 12:03:03,2026-03-02 12:03:03,completed,,0,0,0,输出文件: output/books/work-1772452108/work-1772452108_places_structured.json,
12,run_1772454041_14075,城南旧事,step0b_load_text_file,2026-03-02 12:20:41,2026-03-02 12:20:41,completed,,0,124124,0,手动提供原文: output/books/chengnanjiu-shi/城南旧事.txt,
13,run_1772454041_14075,城南旧事,step2_extract_places,2026-03-02 12:20:41,2026-03-02 12:23:55,completed,,0,52,0,提取到 52 个地点,
14,run_1772454041_14075,城南旧事,step3_enrich_places,2026-03-02 12:23:55,,running,,0,0,0,,
15,run_1772454449_29055,城南旧事,step0b_load_text_file,2026-03-02 12:27:29,2026-03-02 12:27:29,completed,,0,124124,0,手动提供原文: output/books/chengnanjiu-shi/城南旧事.txt,
16,run_1772454449_29055,城南旧事,step2_extract_places,2026-03-02 12:27:29,2026-03-02 12:28:00,completed,,0,32,0,提取到 32 个地点,
17,run_1772454449_29055,城南旧事,step3_enrich_places,2026-03-02 12:28:00,2026-03-02 12:30:25,completed,,0,32,0,富化完成 32 条,
18,run_1772454449_29055,城南旧事,step3b_book_meta,2026-03-02 12:30:25,2026-03-02 12:32:01,completed,,0,0,0,"元数据: 7 角色, 6 篇章",
19,run_1772454449_29055,城南旧事,step4_review,2026-03-02 12:32:01,2026-03-02 12:37:32,completed,,0,26,0,审查完成 26 条,
